t,     mx,           my,            mz
5.42e-10, -0.7745395, 0.58833788, -0.23195461
5.44e-10, -0.78066719, 0.56045041, -0.27629463
5.46e-10, -0.78684443, 0.52667973, -0.32155163
5.48e-10, -0.79231924, 0.48733476, -0.36696001
5.5e-10, -0.79658945, 0.44304725, -0.4111922
5.52e-10, -0.79948582, 0.39457064, -0.45283047
5.54e-10, -0.80107959, 0.34263676, -0.49070003
5.56e-10, -0.80155008, 0.28791169, -0.52396532
5.58e-10, -0.80109308, 0.23100457, -0.55209253
5.6e-10, -0.79987723, 0.17248743, -0.57477809
5.62e-10, -0.79803214, 0.11290892, -0.59188503
5.64e-10, -0.79565065, 0.052800462, -0.60339812
5.66e-10, -0.79279721, -0.0073232095, -0.6093935
5.68e-10, -0.78951647, -0.066966789, -0.61001935
5.7e-10, -0.78584156, -0.12565884, -0.60548233
5.72e-10, -0.78180045, -0.182957, -0.59603767
5.74e-10, -0.77742104, -0.23845357, -0.58198055
5.76e-10, -0.77273401, -0.29178068, -0.56363879
5.78e-10, -0.76777441, -0.3426151, -0.54136508
5.8e-10, -0.76258127, -0.39068145, -0.51553053
5.82e-10, -0.75719646, -0.43575348, -0.48651848
5.84e-10, -0.75166303, -0.47765441, -0.45471906
5.86e-10, -0.74602376, -0.51625481, -0.42052507
5.88e-10, -0.74032026, -0.55147079, -0.38432752
5.9e-10, -0.73459226, -0.5832612, -0.34651219
5.92e-10, -0.72887744, -0.61162536, -0.3074553
5.94e-10, -0.72321078, -0.63660164, -0.26751763
5.96e-10, -0.71762389, -0.65826582, -0.22703616
5.98e-10, -0.71214382, -0.67672963, -0.1863097
6e-10, -0.70679139, -0.69213808, -0.14557299
6.02e-10, -0.70157941, -0.70466238, -0.10494989
6.04e-10, -0.69651267, -0.71448039, -0.064370805
6.06e-10, -0.69159191, -0.72172962, -0.023441866
6.08e-10, -0.6868292, -0.72640444, 0.018707635
6.1e-10, -0.68227642, -0.72818597, 0.063442957
6.12e-10, -0.67804053, -0.72630231, 0.11217807
6.14e-10, -0.67422631, -0.71968808, 0.1654072
6.16e-10, -0.67081934, -0.70752017, 0.22210253
6.18e-10, -0.66766224, -0.68961556, 0.2802837
6.2e-10, -0.6645627, -0.66632382, 0.33800608
6.22e-10, -0.66139027, -0.63821642, 0.39383683
6.24e-10, -0.65809073, -0.60588589, 0.44685847
6.26e-10, -0.65465594, -0.56987729, 0.49652584
6.28e-10, -0.65109348, -0.53068052, 0.54253228
6.3e-10, -0.64740922, -0.48874046, 0.58471686
6.32e-10, -0.64360092, -0.44446812, 0.6230072
6.34e-10, -0.63965804, -0.39824943, 0.65738641
6.36e-10, -0.63556411, -0.35045081, 0.68787485
6.38e-10, -0.63129984, -0.3014226, 0.71452042
6.4e-10, -0.62684613, -0.25150056, 0.73739348
6.42e-10, -0.6221868, -0.20100584, 0.75658413
6.44e-10, -0.61731042, -0.15024397, 0.77220076
6.46e-10, -0.61221173, -0.09950264, 0.78436868
6.48e-10, -0.60689179, -0.049049371, 0.79322902
6.5e-10, -0.60135739, 0.00087107305, 0.79893726
6.52e-10, -0.59561953, 0.050038691, 0.80166145
6.54e-10, -0.58969138, 0.098259386, 0.80158036
6.56e-10, -0.58358605, 0.14536517, 0.79888141
6.58e-10, -0.57731459, 0.19121365, 0.7937586
6.6e-10, -0.57088416, 0.23568719, 0.78641054
6.62e-10, -0.56429664, 0.2786923, 0.7770384
6.64e-10, -0.55754716, 0.32015975, 0.76584365
6.66e-10, -0.55062269, 0.36004556, 0.75302517
6.68e-10, -0.5435002, 0.39833347, 0.73877536
6.7e-10, -0.53614499, 0.43503895, 0.72327394
6.72e-10, -0.52850911, 0.47021493, 0.70667853
6.74e-10, -0.52053136, 0.5039592, 0.68910991
6.76e-10, -0.51214074, 0.53642185, 0.67063019
6.78e-10, -0.50326683, 0.56780899, 0.65121316
6.8e-10, -0.49386127, 0.59837384, 0.63071154
6.82e-10, -0.48393219, 0.6283828, 0.60883557
6.84e-10, -0.47358389, 0.65804466, 0.58517273
6.86e-10, -0.46303835, 0.68741515, 0.5592768
